씬ID(sceneId),선택지번호(choiceIndex),선택지텍스트(text),반응강조캐릭터(reactionActiveCharacters),반응하는캐릭터(reactionSpeaker),반응텍스트(reactionText),표시캐릭터1(reactionChar_left),표시캐릭터1표정(reactionEmotion_left),표시캐릭터2(reactionChar_center),표시캐릭터2표정(reactionEmotion_center),표시캐릭터3(reactionChar_right),표시캐릭터3표정(reactionEmotion_right),다음씬ID(nextSceneId),affectioncharacter1,affectionValue1,affectioncharacter2,affectionValue2,표시조건(show_if),명령어(command)
scene1_choice1,1,네,szymanowska,szymanowska,"그래, 어서 가자. 이대로 가다가는 폴로네즈를 놓치겠어.",szymanowska,무도회디폴트,,,,,scene2,,,,,,
scene1_choice1,2,아직요,szymanowska,szymanowska,,szymanowska,무도회디폴트,,,,,scene1_choice2,,,,,,
scene1_choice1,3,다음이벤트로 스킵(개발자용),,,,szymanowska,무도회디폴트,,,,,scenejan_1,,,,,,
scene1_choice2,1,대담한 색배합의 드레스를 고른다,szymanowska,szymanowska,들어가면 다들 우리 에투아르만 보겠는데? 눈길을 확 잡아끄는 맛이 있네.,szymanowska,무도회미소,,,,,scene2,liszt,1,,,,
scene1_choice2,2,차분한 색배합의 드레스를 고른다,szymanowska,szymanowska,너희 나이 때는 원래 이렇게 덜 꾸미는 게 얼굴이 더 살아. 이렇게 하얀 드레스 하나만 입어도 얼마나 예뻐.,szymanowska,무도회디폴트,,,,,scene2,mendelssohn,1,,,,
scene2_choice,1,긴장했다,,,,,,,,,,,mendelssohn,1,,,,
scene2_choice,2,흥분했다,,,,,,,,,,,liszt,1,,,,
scene3_choice,1,샴페인을 한 잔 더 하기로 한다,,,,,,,,,,scene4_a,,,,,,
scene3_choice,2,셰즈 롱그에서 잠깐 숨을 돌리기로 한다,,,,,,,,,,scene4_b,,,,,,
scene4_a_choice,1,알고 있어요,liszt,???,그래요? 이거 민망하네.,liszt,default,,,,,scene4_aa,,,,,,
scene4_a_choice,2,알려줘서 고마워요,liszt,???,별말씀을요. 이런 좋은 조언을 해 주는 사람이 흔하지는 않으니 조심해요.,liszt,미소,,,,,scene4_aa,liszt,1,,,,
scene4_b_choice,1,괜찮아요,mendelssohn,???,당신의 반응에 남자는 당신의 팔을 잡았던 손에서 힘을 빼고 당신이 셰즈 롱그에 자리잡고 앉는 것까지 지켜본다.,mendelssohn,default,,,,,scene4_bb,mendelssohn,1,,,,
scene4_b_choice,2,고개를 끄덕인다,mendelssohn,???,당신의 반응에 남자는 당신의 팔을 잡았던 손에서 힘을 빼고 당신이 셰즈 롱그에 자리잡고 앉는 것까지 지켜본다.,mendelssohn,default,,,,,scene4_bb,,,,,,
scene5_choice,1,물론이죠,liszt,liszt,자신의 가치를 잘 알고 있는 숙녀분이시로군요. 이렇게 소개받을 수 있어 기쁩니다.,szymanowska,무도회디폴트,liszt,웃음,mendelssohn,default,,liszt,1,,,,
scene5_choice,2,마음은 감사하지만 제게는 과분한 영광이로군요,liszt,liszt,물론 농담이었습니다. 이리 재치 있는 숙녀분을 소개받아 기쁩니다.,szymanowska,무도회디폴트,liszt,젠틀,mendelssohn,default,,,,,,,
scene6_choice,1,무릎인사로 화답한다,mendelssohn,mendelssohn,"훌륭한 샤프롱을 두셨군요, 베시에르 양. 시마노프스카 부인의 이름은 유럽 전역에 잘 알려져 있죠.",szymanowska,무도회디폴트,liszt,default,mendelssohn,미소,,mendelssohn,1,,,,
scene6_choice,2,고개를 가볍게 숙인다,mendelssohn,mendelssohn,샤프롱으로서 고생이 많으시겠습니다. 하지만 그토록 인내심이 있으시니 훌륭한 샤프롱이신 거겠죠.,szymanowska,무도회디폴트,liszt,default,mendelssohn,젠틀,,,,,,,
scene7_choice1,1,멘델스존 씨 덕분에 기분 좋은 시간을 보내고 돌아가는 아가씨들이 있겠네요.,mendelssohn,mendelssohn,과분한 칭찬이십니다. 신사라면 손이 비지 않게 하는 건 당연한 예의죠.,szymanowska,무도회디폴트,liszt,default,mendelssohn,미소,,mendelssohn,1,,,,
scene7_choice1,2,한 곡 정도는 제게 시간을 내 준다면 좋겠네요.,mendelssohn,mendelssohn,원하신다면 숙녀분의 뜻에 따르도록 하지요.,szymanowska,무도회디폴트,liszt,default,mendelssohn,젠틀,,,,,,,
scene7_choice2,1,제 발은 밟으셔도 좋아요,liszt,liszt,"하하, 그렇게 이야기해 주시니 긴장이 확 풀리는군요! 그래도 베시에르 양의 앙증맞은 발을 밟았다가는 저도 슬퍼질 것 같으니 조심하죠.",szymanowska,무도회디폴트,liszt,웃음,mendelssohn,default,scene8,liszt,1,,,,
scene7_choice2,2,너무 겸손하시네요,liszt,liszt,겸손이라기보다는… 정말로 춤에 익숙치 않아서 말이죠.,szymanowska,무도회디폴트,liszt,민망,mendelssohn,default,scene9,,,,,,
scene9_choice,1,둘 모두를 거절한다,szymanowska,szymanowska,"어머나, 정말로?",szymanowska,무도회놀람,liszt,민망,mendelssohn,찌풀,scene10_a,liszt,-1,mendelssohn,-2,,
scene9_choice,2,둘 모두를 승낙한다,szymanowska,szymanowska,잘 선택했어.,szymanowska,무도회미소,liszt,default,mendelssohn,default,scene10_b,liszt,1,mendelssohn,1,,
scene9_choice,3,리스트를 거절하고 멘델스존을 승낙한다,,,,szymanowska,무도회놀람,liszt,민망,mendelssohn,걱정,scene10_c,liszt,-2,mendelssohn,-1,,
scene9_choice,4,멘델스존을 거절하고 리스트를 승낙한다,liszt,liszt,"하하, 영광입니다.",szymanowska,무도회놀람,liszt,웃음,mendelssohn,수줍,scene10_d,liszt,2,mendelssohn,-2,,
scene10_c_choice,1,사과를 한다,liszt,liszt,"아닙니다, 아닙니다. 숙녀 분의 취향이 그러시다는데 거기에 대고 내가 왈가왈부 할 수 없는 노릇 아니겠어요.",szymanowska,무도회놀람,liszt,웃음,mendelssohn,젠틀,scene10_c_a,liszt,-1,,,,
scene10_c_choice,2,사과를 하지 않는다,mendelssohn,mendelssohn,"오, 이럴 수가… 정말 미안하게 됐어요, 리스트 씨. 이런…",szymanowska,무도회놀람,liszt,민망,mendelssohn,걱정,scene10_c_b,liszt,1,mendelssohn,-1,,
scene12_b_choice,1,의견이 확고하시네요. 저라면 좀 더 조심해서 말하겠어요.,liszt,liszt,그렇게 조심스러울 것 없어요. 어차피 당신 말을 듣는 건 나뿐인데.,liszt,default,,,,,scene12_b_a_choice,liszt,-1,,,,
scene12_b_choice,2,"완전히 동감해요, 이토록 몰개성하고 무가치한 음악은 예술이라 부를 수 없죠.",liszt,liszt,이런 곳에서 저와 동의하는 분을 만날 줄은 몰랐군요!,liszt,심취,,,,,scene12_b_b,liszt,1,,,,
scene12_b_a_choice,1,그렇긴 하죠. 자기 의견이 없는 사람은 매력이 없긴 해요.,liszt,liszt,안전함을 추구하는 사람들은 아무런 변화도 만들어낼 수 없는 법이지 않습니까?,liszt,default,,,,,scene12_b_a_a,liszt,1,,,,
scene12_b_a_choice,2,글쎄요… 언제나 그런 건 아니죠.,liszt,liszt,"조심성이 참으로 많으시군요! 하긴, 이런 시대에는 베시에르 양과 같은 분이 더 어울릴지도 모르겠습니다.",liszt,웃음,,,,,scene12_b_a_b,liszt,-1,,,,
scene14_b_choice,1,반드시 진보하는 것만이 답일까요?,liszt,liszt,흐음… 일단 난 그렇게 생각합니다. 지금까지 역사는 인간을 더욱 풍요롭게 만드는 방향으로 발전해왔죠.,liszt,default,,,,,scene14_b_a,mendelssohn,1,,,,
scene14_b_choice,2,하지만 그렇게 진보하기 위해서는 치열한 노력이 필요하겠죠. ,liszt,liszt,"하하하, 현명한 말씀이십니다. 아무 노력도 없이 진보만을 기대하는 것은 어리석은 일이죠.",liszt,미소,,,,,scene15_b_choice,liszt,1,,,,
scene15_b_choice,1,얼마 정도의 관심은 있습니다.,liszt,liszt,저도 그곳에서 오고가는 이야기들이 상당히 흥미롭다고 생각하고 있습니다. 다른 것보다도 예술이 수행하는 역할에 대한 견해가 인상깊더군요.,liszt,미소,,,,,scene15_b_a_choice,liszt,1,,,,
scene15_b_choice,2, 딱히 흥미를 느끼지는 못해요.,liszt,liszt,"아아, 그렇군요. 숙녀분께 좀 어려운 이야기였으려나요? 이거 죄송해지네요.",liszt,default,,,,,scene17_b,mendelssohn,1,,,,
scene15_b_a_choice,1,예술에 별다른 역할이 필요한가요? 아름다운 것 그 자체로 예술은 그 기능을 다하고 있다고 생각하는데요.,liszt,liszt,"아아, 그런 입장이시군요. 베시에르 양의 주장도 그 근거가 아주 없는 건 아닙니다만 내 생각은 조금 다릅니다.",liszt,default,,,,,scene16_b_a,,,,,,
scene15_b_a_choice,2,"예술은 인간의 정신을 교화하고 고양시키며, 도덕적인 인격을 함양하는 데 도움을 주죠.",liszt,liszt,그것 또한 맞는 말이라고 생각합니다. 거기에 굳이 조금 더 사견을 덧붙여 본다면...,liszt,default,,,,,scene16_b_a,liszt,1,,,,
scene15_b_a_choice,3,예술은 신과 소통하는 통로이자 우리의 현실과 연결되어 영향을 주고받는다고 생각해요.,liszt,liszt,"신과 소통하는 통로… 신과 소통하는 통로, 라! 참으로 적절한 말씀입니다. 너무나 정확한 단어로 표현해 주셨네요!",liszt,심취,,,,,scene16_b_a,liszt,2,,,,
scene16_b_a_choice,1,언젠가는 대중이 당신을 따라오게 될 거예요.,liszt,liszt,당신의 말에 리스트의 얼굴에 금방이라도 부서질 듯 엷은 미소가 떠올랐다. ,liszt,씁쓸,,,,,scene16_b_a_a,,,,,,
scene16_b_a_choice,2,연주자의 어쩔 수 없는 숙명이죠.,liszt,liszt,리스트는 애써 미소를 지으며 고개를 끄덕였다. ,liszt,씁쓸,,,,,scene17_b,liszt,-1,,,,
scene16_b_a_choice,3,연주자도 창조를 하는 사람이니 원숭이라고 스스로를 깎아내리지 말아요.,liszt,liszt,리스트는 입꼬리를 끌어올리며 고개를 끄덕였다. 표정에는 묘한 안도와 체념이 섞여 있었다.,liszt,씁쓸,,,,,scene16_b_a_c,liszt,1,,,,
scene17_b_choice,1,어느 쪽이든 빨리 결론이 나기를 바라요. 국내의 불안정이 최소화되었으면 좋겠거든요. ,liszt,liszt,"흐으음, 그런 입장이시군요.",liszt,default,,,,,scene18_b,liszt,-1,,,,
