씬ID(sceneId),대사순서(order),강조캐릭터(activeCharacters),말하는캐릭터(speaker),대사텍스트(text),명령어(command)
scene1,1,,narrator,"1831년 12월 11일, 파리. ",
scene1,2,,narrator,"하루에도 900명의 생을 앗아갔다는 끔찍한 질병, 콜레라가 잦아든 지도 세 달이 지났다.",
scene1,3,,narrator,"가십에 굶주린 맹수와도 같은 대도시, 파리의 거주민들은 새로운 자극을 찾아 고개를 치켜들고 있었다.",
scene1,4,,narrator,"3월부터 9월까지, 가장 화려해야 했을 사교 시즌을 박탈당한 사람들은 금방이라도 넘쳐흐를 듯한 가마솥처럼 들끓고 있었다.",
scene1,5,,narrator,"새로이 시작되는 1832년의 사교시즌은 그들의 목을 축여줄 단비와도 같은, 먹음직스러운 식사였다.",
scene1,6,,narrator,당신 또한 마찬가지였다.,
scene1,7,,narrator,만개해 절정에 이르른 꽃과도 같이 화려하게 피어난 당신은 얼굴을 내비칠 자리를 찾고 있었다.,
scene1,8,,narrator,"작지도 크지도 않았던 지베르니에서 벗어나, 인구 80만의 대도시로 향할 기회는 오래지 않아 주어졌다.",
scene1,9,,narrator,그간 억눌린 것을 분출하듯 이곳저곳에서 무도회가 열렸다.,
scene1,10,,narrator,그 중 당신이 참석하기로 한 무도회는 '폴란드 망명객들을 위한 자선 무도회' 였다.,
scene1,11,,narrator,물론 백 퍼센트 당신의 의사는 아니었다.,
scene1,12,,narrator,당신의 샤프롱인 시마노프스카 부인 또한 폴란드 출신이신지라 이런 행사를 넘길 수 없던 탓이었다.,
scene1_choice1,1,szymanowska,szymanowska,"에투아르, 다 챙겼니?",
scene1_choice2,1,szymanowska,szymanowska,"얘는 뭐가 그렇게 오래 걸리니? 뭐 때문에 고민하고 있는 거야? 자, 여기 두 개 중에서 빨리 골라라.",
scene2,1,szymanowska,szymanowska,준비 다 됐지? 얼른 가자꾸나.,
scene2,2,,narrator,"당신과 시마노프스카 부인은 마차에 오르고, 마차는 호텔 랑베르를 향해 느리게 굴러간다.",
scene2,3,szymanowska,szymanowska,"그러고 보니 에투아르는 음악에 관심이 많다고 했지? 오늘 음악 하는 친구들이 많이 오기로 했는데, 관심 가는 사람이 있으면 이모한테 바로 얘기해. 이모가 잘 소개시켜 줄게.",
scene2,4,szymanowska,szymanowska,"누가 온다 그랬더라, 요즘 한창 뜬다는 피아니스트 친구랑 그 젊은 작곡가 친구도 온댔던가.",
scene2,5,,narrator,당신은 시마노프스카의 말을 흘려들으며 창 밖을 바라본다.,
scene2,6,,narrator,튈르리 궁전 앞으로 새로 설치된 가스등이 환하게 도시를 밝히고 있었다.,
scene2,7,,narrator,오래지 않아 호텔 랑베르 앞에 마차가 멈춰섰다. 풋맨이 문을 열어주었고 당신과 시마노프스카는 차례로 마차에서 내린다.,
scene2,8,,narrator,무도회장에는 이미 몇백 명 정도는 되어 보이는 사람들이 들어차 있었다.,
scene2,9,,narrator,시마노프스카는 이미 이 정도 인파는 익숙한지 별다른 반응을 보이지 않았다.,
scene2_choice,1,,narrator,당신은…,
scene3,1,,narrator,시마노프스카는 당신을 데리고 다니며 수많은 사람들에게 당신을 소개시켜 주었다.,
scene3,2,,narrator,"이름을 다 외울 수도 없이 많은 귀족들과 장교들, 화가와 조각가들의 이름이 귀를 스쳤다.",
scene3,3,,narrator,정식으로 춤이 시작하기 전의 왁자지껄한 분위기 속 사람들이 샴페인과 와인을 주고받았다.,
scene3,4,,narrator,콜레라로 인해 오랫동안 사교생활을 하지 않다가 갑자기 많은 사람을 만나서 그런지 조금 벅찼다.,
scene3_choice,1,,narrator,당신은…,
