씬ID(id),씬종류(type),장소ID(place),다음씬ID(nextSceneId),컷씬이미지(cutsceneImage),엔딩호감도체크(checkAffection),배경음악(backgroundMusic)
warning_scene,warning,,scene1,,,
scene1,normal,house,,,,SymphonieFantastique.mp3
scene1_choice1,choice,house,,,,SymphonieFantastique.mp3
scene1_choice2,choice,house,,,,SymphonieFantastique.mp3
scene2,normal,carriage,,,,SymphonieFantastique.mp3
scene2_choice,choice,carriage,,,,SymphonieFantastique.mp3
scene3,normal,ballroom,,,,SymphonieFantastique.mp3
scene3_choice,choice,ballroom,,,,SymphonieFantastique.mp3
scene4_a,normal,ballroom,,,,SymphonieFantastique.mp3
scene4_a_choice,choice,ballroom,,,,SymphonieFantastique.mp3
scene4_aa,normal,ballroom,scene5,,,SymphonieFantastique.mp3
scene4_b,normal,ballroom,,,,SymphonieFantastique.mp3
scene4_bb,normal,ballroom,scene5,,,SymphonieFantastique.mp3
scene5,normal,ballroom,scene5_choice,,,SymphonieFantastique.mp3
scene5_choice,choice,ballroom,,,,SymphonieFantastique.mp3
scene6,normal,ballroom,,,,SymphonieFantastique.mp3
scene6_choice,choice,ballroom,,,,SymphonieFantastique.mp3
scene7,normal,ballroom,,,,SymphonieFantastique.mp3
scene7_choice1,choice,ballroom,,,,SymphonieFantastique.mp3
scene7_choice2,choice,ballroom,,,,SymphonieFantastique.mp3
scene8,normal,ballroom,,,,SymphonieFantastique.mp3
scene9,normal,ballroom,,,,SymphonieFantastique.mp3
scene9_choice,choice,ballroom,,,,SymphonieFantastique.mp3
scene10_a,normal,ballroom,scene11_a,,,SymphonieFantastique.mp3
scene10_b,normal,ballroom,scene11_b,,,SymphonieFantastique.mp3
scene10_c,normal,ballroom,scene10_c_choice,,,SymphonieFantastique.mp3
scene10_c_choice,choice,ballroom,,,,SymphonieFantastique.mp3
scene10_c_a,normal,ballroom,scene11_c,,,SymphonieFantastique.mp3
scene10_c_b,normal,ballroom,scene11_c,,,SymphonieFantastique.mp3
scene10_d,normal,ballroom,scene11_d,,,SymphonieFantastique.mp3
scene11_a,normal,ballroom,scene12_a,,,SymphonieFantastique.mp3
scene11_b,normal,ballroom,scene12_b,,,SymphonieFantastique.mp3
scene11_c,normal,ballroom,scene12_d,,,SymphonieFantastique.mp3
scene11_d,normal,ballroom,scene12_c,,,SymphonieFantastique.mp3
scene12_a,normal,ballroom,scene13_a,,,SymphonieFantastique.mp3
scene13_a,normal,ballroom,scene23,,,SymphonieFantastique.mp3
scene12_b,normal,ballroom,scene12_b_choice,,,SymphonieFantastique.mp3
scene12_b_choice,choice,ballroom,,,,SymphonieFantastique.mp3
scene12_b_a_choice,choice,ballroom,,,,SymphonieFantastique.mp3
scene12_b_a_a,normal,ballroom,scene13_b_a,,,SymphonieFantastique.mp3
scene12_b_a_b,normal,ballroom,scene13_b_a,,,SymphonieFantastique.mp3
scene13_b_a,normal,ballroom,scene14_b,,,SymphonieFantastique.mp3
scene12_b_b,normal,ballroom,scene14_b,,,SymphonieFantastique.mp3
scene14_b,normal,ballroom,,,,SymphonieFantastique.mp3
scene14_b_choice,choice,ballroom,,,,SymphonieFantastique.mp3
scene14_b_a,normal,ballroom,scene15_b_choice,,,SymphonieFantastique.mp3
scene15_b_choice,choice,ballroom,,,,SymphonieFantastique.mp3
scene15_b_a_choice,normal,ballroom,,,,SymphonieFantastique.mp3
scene16_b_a,normal,ballroom,,,,SymphonieFantastique.mp3
scene16_b_a_choice,choice,ballroom,,,,SymphonieFantastique.mp3
scene16_b_a_a,normal,ballroom,scene17_b,,,SymphonieFantastique.mp3
scene16_b_a_c,normal,ballroom,scene17_b,,,SymphonieFantastique.mp3
scene17_b,normal,ballroom,,,,SymphonieFantastique.mp3
scene17_b_choice,choice,ballroom,,,,SymphonieFantastique.mp3
scene17_b_b,normal,ballroom,scene18_b,,,SymphonieFantastique.mp3
scene17_b_c,normal,ballroom,scene18_b,,,SymphonieFantastique.mp3
scene18_b,normal,ballroom,,DEC_L_cutscene.jpg,,SymphonieFantastique.mp3
scene18_b_choice,choice,ballroom,,,,SymphonieFantastique.mp3
scene19_b_a,normal,ballroom,scene20_b,,,SymphonieFantastique.mp3
scene19_b_b,normal,ballroom,scene20_b,,,SymphonieFantastique.mp3
scene20_b,normal,ballroom,,,,SymphonieFantastique.mp3
scene20_b_choice,choice,ballroom,,,,SymphonieFantastique.mp3
scene20_b_a,normal,ballroom,scene21_b,,,SymphonieFantastique.mp3
scene21_b,normal,ballroom,scene12_d,,,SymphonieFantastique.mp3
scene12_c,normal,ballroom,scene12_c_choice,,,SymphonieFantastique.mp3
scene12_c_choice,choice,ballroom,,,,SymphonieFantastique.mp3
scene12_c_a_choice,choice,ballroom,,,,SymphonieFantastique.mp3
scene12_c_a_a,normal,ballroom,scene13_c_a,,,SymphonieFantastique.mp3
scene12_c_a_b,normal,ballroom,scene13_c_a,,,SymphonieFantastique.mp3
scene13_c_a,normal,ballroom,scene14_c,,,SymphonieFantastique.mp3
scene12_c_b,normal,ballroom,scene14_c,,,SymphonieFantastique.mp3
scene14_c,normal,ballroom,,,,SymphonieFantastique.mp3
scene14_c_choice,choice,ballroom,,,,SymphonieFantastique.mp3
scene14_c_a,normal,ballroom,scene15_c_choice,,,SymphonieFantastique.mp3
scene15_c_choice,choice,ballroom,,,,SymphonieFantastique.mp3
scene15_c_a_choice,choice,ballroom,,,,SymphonieFantastique.mp3
scene16_c_a,normal,ballroom,,,,SymphonieFantastique.mp3
scene16_c_a_choice,choice,ballroom,,,,SymphonieFantastique.mp3
scene16_c_a_a,normal,ballroom,scene17_c,,,SymphonieFantastique.mp3
scene16_c_a_c,normal,ballroom,scene17_c,,,SymphonieFantastique.mp3
scene17_c,normal,ballroom,,,,SymphonieFantastique.mp3
scene17_c_choice,choice,ballroom,,,,SymphonieFantastique.mp3
scene17_c_b,normal,ballroom,scene18_c,,,SymphonieFantastique.mp3
scene17_c_c,normal,ballroom,scene18_c,,,SymphonieFantastique.mp3
scene18_c,normal,ballroom,,DEC_L_cutscene.jpg,,SymphonieFantastique.mp3
scene18_c_choice,choice,ballroom,,,,SymphonieFantastique.mp3
scene19_c_a,normal,ballroom,scene20_c,,,SymphonieFantastique.mp3
scene19_c_b,normal,ballroom,scene20_c,,,SymphonieFantastique.mp3
scene20_c,normal,ballroom,,,,SymphonieFantastique.mp3
scene20_c_choice,choice,ballroom,,,,SymphonieFantastique.mp3
scene20_c_a,normal,ballroom,scene21_c,,,SymphonieFantastique.mp3
scene21_c,normal,ballroom,scene22,,,SymphonieFantastique.mp3
scene22,normal,ballroom,scene23,,,SymphonieFantastique.mp3
scene12_d,normal,ballroom,,,,SymphonieFantastique.mp3
scene12_d_choice,choice,ballroom,,,,SymphonieFantastique.mp3
scene13_d_choice,choice,ballroom,,,,SymphonieFantastique.mp3
scene14_d_a,normal,ballroom,scene15_d,,,SymphonieFantastique.mp3
scene14_d_b,normal,ballroom,,,,SymphonieFantastique.mp3
scene14_d_b_choice,choice,ballroom,,,,SymphonieFantastique.mp3
scene14_d_b_a,normal,ballroom,scene15_d,,,SymphonieFantastique.mp3
scene14_d_c,normal,ballroom,,,,SymphonieFantastique.mp3
scene14_d_c_choice,choice,ballroom,,,,SymphonieFantastique.mp3
scene14_d_c_a,normal,ballroom,scene15_d,,,SymphonieFantastique.mp3
scene14_d_c_b,normal,ballroom,scene15_d,,,SymphonieFantastique.mp3
scene14_d_c_c,normal,ballroom,scene15_d,,,SymphonieFantastique.mp3
scene14_d_c_d,normal,ballroom,scene15_d,,,SymphonieFantastique.mp3
scene14_d_d,normal,ballroom,,,,SymphonieFantastique.mp3
scene14_d_d_choice,choice,ballroom,,,,SymphonieFantastique.mp3
scene14_d_d_a,normal,ballroom,scene15_d,,,SymphonieFantastique.mp3
scene14_d_d_b,normal,ballroom,scene15_d,,,SymphonieFantastique.mp3
scene15_d,normal,ballroom,,DEC_M_cutscene.jpg,,SymphonieFantastique.mp3
scene15_d_choice,choice,ballroom,,,,SymphonieFantastique.mp3
scene15_d_e,normal,ballroom,,,,SymphonieFantastique.mp3
scene15_d_a_choice,choice,ballroom,,,,SymphonieFantastique.mp3
scene15_d_a,normal,ballroom,scene16_d,,,SymphonieFantastique.mp3
scene16_d,normal,ballroom,,,,SymphonieFantastique.mp3
scene16_d_choice,choice,ballroom,,,,SymphonieFantastique.mp3
scene16_d_a,normal,ballroom,,,,SymphonieFantastique.mp3
scene17_d,normal,ballroom,scene23,,,SymphonieFantastique.mp3
scene23,normal,ballroom,scenejan_1,,,SymphonieFantastique.mp3
scenejan_1,normal,house,,,,SymphonieFantastique.mp3
scenejan_1_choice,choice,house,,,,SymphonieFantastique.mp3
scenejan_2,normal,foyer,,,,SymphonieFantastique.mp3
scenejan_2_choice,choice,foyer,,,,SymphonieFantastique.mp3
scenejan_3,normal,foyer,,,,SymphonieFantastique.mp3
scenejan_3_choice,choice,foyer,,,,SymphonieFantastique.mp3
scenejan_4_a,normal,hallway,,,,SymphonieFantastique.mp3
scenejan_4_a_choice,choice,hallway,,,,SymphonieFantastique.mp3
scenejan_5_a,normal,hallway,scenejan_6_b,,,SymphonieFantastique.mp3
scenejan_5_b,normal,hallway,,,,SymphonieFantastique.mp3
scenejan_5_b_choice,choice,hallway,,,,SymphonieFantastique.mp3
scenejan_6_b,normal,hallway,,,,SymphonieFantastique.mp3
scenejan_6_b_choice,choice,hallway,,,,SymphonieFantastique.mp3
scenejan_7_b,normal,hallway,,,,SymphonieFantastique.mp3
scenejan_8_b,normal,hallway,,,,SymphonieFantastique.mp3
scenejan_8_b_choice,choice,hallway,,,,SymphonieFantastique.mp3
scenejan_9_b,normal,hallway,,,,SymphonieFantastique.mp3
scenejan_10_b,normal,hallway,,,,SymphonieFantastique.mp3
scenejan_10_b_choice,choice,hallway,,,,SymphonieFantastique.mp3
scenejan_11_b,normal,hallway,scenejan_14_b,,,SymphonieFantastique.mp3
scenejan_12_b,normal,hallway,scenejan_14_b,,,SymphonieFantastique.mp3
scenejan_13_b,normal,hallway,scenejan_14_b,,,SymphonieFantastique.mp3
scenejan_14_b,normal,hallway,,,,SymphonieFantastique.mp3
scenejan_14_b_choice,choice,hallway,,,,SymphonieFantastique.mp3
scenejan_15_b,normal,hallway,scenejan_6_d,,,SymphonieFantastique.mp3
scenejan_16_b,normal,hallway,,,,SymphonieFantastique.mp3
scenejan_16_b_choice,choice,hallway,,,,SymphonieFantastique.mp3
